County,School district,"K-12 enrollment, 2013-14","K-12 enrollment, 2023-24",% change
Atlantic,Absecon Public Schools District,850,804,-0.05411764705882349
Atlantic,Atlantic City School District,6973.5,5716,-0.1803255180325518
Atlantic,Atlantic County Vocational School District,1210,1805,0.49173553719008267
Atlantic,Atlantic County Special Services School District,404,294,-0.2722772277227723
Atlantic,Brigantine Public School District,667,327,-0.5097451274362819
Atlantic,Buena Regional School District,1962.5,1471,-0.2504458598726115
Atlantic,Egg Harbor City School District,446,510,0.1434977578475336
Atlantic,Egg Harbor Township School District,7542.5,6860,-0.09048723897911837
Atlantic,Estell Manor School District,181,171,-0.05524861878453036
Atlantic,Folsom Borough School District,415,360,-0.1325301204819277
Atlantic,Galloway Township Public School District,3302,2855,-0.13537250151423375
Atlantic,Greater Egg Harbor Regional High School District,3483,3009,-0.13608957795004306
Atlantic,Hamilton Township School District,3002,2509,-0.16422385076615587
Atlantic,Hammonton School District,3499.5,3134,-0.1044434919274182
Atlantic,Linwood City School District,838,753,-0.10143198090692129
Atlantic,Mainland Regional High School,1418,1170,-0.17489421720733422
Atlantic,Margate City School District,454,314,-0.3083700440528634
Atlantic,Mullica Township School District,699,535,-0.23462088698140204
Atlantic,Northfield City School District,977,811,-0.16990788126919143
Atlantic,Pleasantville Public School District,3349,3276,-0.02179755150791285
Atlantic,Port Republic School District,126,111,-0.11904761904761907
Atlantic,Somers Point School District,980,648,-0.3387755102040816
Atlantic,Ventnor City School District,774,413,-0.4664082687338501
Atlantic,Weymouth Township School District,176,148,-0.15909090909090906
Bergen,Allendale Public School District,876,879,0.003424657534246478
Bergen,Alpine Public School District,163,163,0
Bergen,Bergen County Special Services School District,692.5,631,-0.08880866425992784
Bergen,Bergen County Vocational Technical School District,2145.5,2790.5,0.30062922395711955
Bergen,Bergenfield Borough School District,3478,3536,0.016676250718803853
Bergen,Bogota Public School District,1096.5,1234,0.12539899680802558
Bergen,Carlstadt Public School District,576,476,-0.17361111111111116
Bergen,Carlstadt-East Rutherford Regional High School District,492,816,0.6585365853658536
Bergen,Cliffside Park School District,2808,2986,0.06339031339031331
Bergen,Closter Public School District,1092,1160,0.06227106227106227
Bergen,Cresskill Public School District,1744.5,1682,-0.03582688449412441
Bergen,Demarest School District,685,694,0.013138686131386912
Bergen,Dumont Public School District,2567,2477.5,-0.034865601869887075
Bergen,East Rutherford School District,716,715,-0.0013966480446927498
Bergen,Edgewater School District,573,627,0.09424083769633507
Bergen,Elmwood Park School District,2512,2513,3.980891719745916e-4
Bergen,Emerson Public School District,1145,1001,-0.125764192139738
Bergen,Englewood Public School District,2839.5,2588.5,-0.088395844338792
Bergen,Englewood Cliffs School District,509,390,-0.23379174852652262
Bergen,Fair Lawn Public School District,4653.5,5416.5,0.16396260878908353
Bergen,Fairview Public School District,1196,1447,0.20986622073578598
Bergen,Fort Lee School District,3734,3955,0.05918585966791645
Bergen,Franklin Lakes School District,1242,1150,-0.07407407407407407
Bergen,Garfield Public School District,4339,4193,-0.03364830606130442
Bergen,Glen Rock Public School District,2373,2563,0.08006742520016852
Bergen,Hackensack School District,5188.5,4855.5,-0.06418039895923677
Bergen,Harrington Park School District,639,612,-0.04225352112676062
Bergen,Hasbrouck Heights School District,1862,1637,-0.12083780880773365
Bergen,Haworth Public School District,436,446,0.022935779816513735
Bergen,Hillsdale School District,1280,1094,-0.14531249999999996
Bergen,Ho-Ho-Kus School District,641,543,-0.15288611544461783
Bergen,Leonia Public School District,1793.5,1999,0.1145804293281294
