YEAR,YEAR_LONG,COUNTY_CODE,COUNTY_NAME,DISTRICT_CODE,DISTRICT_NAME,TOTAL_ENROLLMENT,PRE_K_ENROLLMENT,PRE_K_FULL_ENROLLMENT,PRE_K_HALF_ENROLLMENT,K_12_ENROLLMENT,CHG_TOTAL_ENROLLMENT,PCT_CHG_TOTAL_ENROLLMENT,CHG_K_12_ENROLLMENT,PCT_CHG_K_12_ENROLLMENT,CHG_10Y_TOTAL_ENROLLMENT,CHG_10Y_K_12_ENROLLMENT,PCT_CHG_10Y_TOTAL_ENROLLMENT,PCT_CHG_10Y_K_12_ENROLLMENT
2012,2012-13,01,Atlantic,0010,Absecon Public Schools,866,0,0,0,866,NA,NA,NA,NA,NA,NA,NA,NA
2013,2013-14,01,Atlantic,0010,Absecon City,864,14,0,14,850,-2,-0.002309468822170868,-16,-0.018475750577367167,NA,NA,NA,NA
2014,2014-15,01,Atlantic,0010,Absecon City,828,0,0,0,828,-36,-0.04166666666666663,-22,-0.025882352941176467,NA,NA,NA,NA
2015,2015-16,01,Atlantic,0010,Absecon City,862,11,11,0,851,34,0.04106280193236711,23,0.02777777777777768,NA,NA,NA,NA
2016,2016-17,01,Atlantic,0010,Absecon City,817,25,25,0,792,-45,-0.05220417633410668,-59,-0.06933019976498234,NA,NA,NA,NA
2017,2017-18,01,Atlantic,0010,Absecon City,874,27,27,0,847,57,0.06976744186046502,55,0.06944444444444442,NA,NA,NA,NA
2018,2018-19,01,Atlantic,0010,Absecon City,859,44,44,0,815,-15,-0.017162471395881007,-32,-0.037780401416765086,NA,NA,NA,NA
2019,2019-20,01,Atlantic,0010,Absecon City,907,0,0,0,907,48,0.055878928987194376,92,0.1128834355828221,NA,NA,NA,NA
2020,2020-21,01,Atlantic,0010,Absecon Public Schools District,887,0,0,0,887,-20,-0.022050716648291058,-20,-0.022050716648291058,NA,NA,NA,NA
2021,2021-22,01,Atlantic,0010,Absecon Public Schools District,900,0,0,0,900,13,0.014656144306651742,13,0.014656144306651742,NA,NA,NA,NA
2022,2022-23,01,Atlantic,0010,Absecon Public Schools District,947,0,0,0,947,47,0.05222222222222217,47,0.05222222222222217,81,81,0.09353348729792144,0.09353348729792144
2012,2012-13,01,Atlantic,0110,Atlantic City Public Schools,7043,298,298,0,6745,NA,NA,NA,NA,NA,NA,NA,NA
2013,2013-14,01,Atlantic,0110,Atlantic City,7309.5,336,336,0,6973.5,266.5,0.03783898906715888,228.5,0.03387694588584145,NA,NA,NA,NA
2014,2014-15,01,Atlantic,0110,Atlantic City,7260,341,341,0,6919,-49.5,-0.006772009029345383,-54.5,-0.007815300781530032,NA,NA,NA,NA
2015,2015-16,01,Atlantic,0110,Atlantic City,7130,436,436,0,6694,-130,-0.017906336088154284,-225,-0.03251915016620899,NA,NA,NA,NA
2016,2016-17,01,Atlantic,0110,Atlantic City,6993,487,487,0,6506,-137,-0.019214586255259514,-188,-0.02808485210636391,NA,NA,NA,NA
2017,2017-18,01,Atlantic,0110,Atlantic City,7016,510,510,0,6506,23,0.0032890032890033893,0,0,NA,NA,NA,NA
2018,2018-19,01,Atlantic,0110,Atlantic City,6855,505,505,0,6350,-161,-0.022947548460661382,-156,-0.023977866584691032,NA,NA,NA,NA
2019,2019-20,01,Atlantic,0110,Atlantic City,6779,0,0,0,6779,-76,-0.011086797957695071,429,0.06755905511811022,NA,NA,NA,NA
2020,2020-21,01,Atlantic,0110,Atlantic City School District,6450,0,0,0,6450,-329,-0.04853223189260958,-329,-0.04853223189260958,NA,NA,NA,NA
2021,2021-22,01,Atlantic,0110,Atlantic City School District,6337,0,0,0,6337,-113,-0.017519379844961214,-113,-0.017519379844961214,NA,NA,NA,NA
2022,2022-23,01,Atlantic,0110,Atlantic City School District,6346,0,0,0,6346,9,0.0014202303929304883,9,0.0014202303929304883,-697,-399,-0.09896350986795399,-0.05915492957746482
2012,2012-13,01,Atlantic,0120,Atlantic County Vocational School District,995.5,0,0,0,995.5,NA,NA,NA,NA,NA,NA,NA,NA
2013,2013-14,01,Atlantic,0120,Atlantic Co Vocational,1210,0,0,0,1210,214.5,0.2154696132596685,214.5,0.2154696132596685,NA,NA,NA,NA
2014,2014-15,01,Atlantic,0120,Atlantic Co Vocational,1398.5,0,0,0,1398.5,188.5,0.1557851239669421,188.5,0.1557851239669421,NA,NA,NA,NA
2015,2015-16,01,Atlantic,0120,Atlantic Co Vocational,1499,0,0,0,1499,100.5,0.07186271004647837,100.5,0.07186271004647837,NA,NA,NA,NA
2016,2016-17,01,Atlantic,0120,Atlantic Co Vocational,1556,0,0,0,1556,57,0.038025350233489075,57,0.038025350233489075,NA,NA,NA,NA
2017,2017-18,01,Atlantic,0120,Atlantic Co Vocational,1610,0,0,0,1610,54,0.03470437017994854,54,0.03470437017994854,NA,NA,NA,NA
