YEAR,YEAR_LONG,COUNTY_CODE,COUNTY_NAME,DISTRICT_CODE,DISTRICT_NAME,PK12_ENROLLMENT,PK_FULL_ENROLLMENT,PK_HALF_ENROLLMENT,PK_ENROLLMENT,K12_ENROLLMENT,CHG_PK12_ENROLLMENT,PCT_CHG_PK12_ENROLLMENT,CHG_10YR_PK12_ENROLLMENT,PCT_CHG_10Y_PK12_ENROLLMENT,CHG_K12_ENROLLMENT,PCT_CHG_K12_ENROLLMENT,CHG_10Y_K12_ENROLLMENT,PCT_CHG_10Y_K12_ENROLLMENT
2012,2012-13,01,Atlantic,0010,Absecon Public Schools District,866,0,0,0,866,NA,NA,NA,NA,NA,NA,NA,NA
2013,2013-14,01,Atlantic,0010,Absecon Public Schools District,864,0,14,14,850,-2,-0.002309468822170868,NA,NA,-16,-0.018475750577367167,NA,NA
2014,2014-15,01,Atlantic,0010,Absecon Public Schools District,828,0,0,0,828,-36,-0.04166666666666663,NA,NA,-22,-0.025882352941176467,NA,NA
2015,2015-16,01,Atlantic,0010,Absecon Public Schools District,862,11,0,11,851,34,0.04106280193236711,NA,NA,23,0.02777777777777768,NA,NA
2016,2016-17,01,Atlantic,0010,Absecon Public Schools District,817,25,0,25,792,-45,-0.05220417633410668,NA,NA,-59,-0.06933019976498234,NA,NA
2017,2017-18,01,Atlantic,0010,Absecon Public Schools District,874,27,0,27,847,57,0.06976744186046502,NA,NA,55,0.06944444444444442,NA,NA
2018,2018-19,01,Atlantic,0010,Absecon Public Schools District,859,44,0,44,815,-15,-0.017162471395881007,NA,NA,-32,-0.037780401416765086,NA,NA
2019,2019-20,01,Atlantic,0010,Absecon Public Schools District,907,62,0,62,845,48,0.055878928987194376,NA,NA,30,0.036809815950920255,NA,NA
2020,2020-21,01,Atlantic,0010,Absecon Public Schools District,887,48,0,48,839,-20,-0.022050716648291058,NA,NA,-6,-0.007100591715976323,NA,NA
2021,2021-22,01,Atlantic,0010,Absecon Public Schools District,900,72,0,72,828,13,0.014656144306651742,NA,NA,-11,-0.013110846245530383,NA,NA
2022,2022-23,01,Atlantic,0010,Absecon Public Schools District,947,127,0,127,820,47,0.05222222222222217,81,0.09353348729792144,-8,-0.009661835748792313,-46,-0.053117782909930744
2023,2023-24,01,Atlantic,0010,Absecon Public Schools District,927,123,0,123,804,-20,-0.02111932418162621,63,0.07291666666666674,-16,-0.019512195121951237,-46,-0.05411764705882349
2012,2012-13,01,Atlantic,0110,Atlantic City School District,7043,298,0,298,6745,NA,NA,NA,NA,NA,NA,NA,NA
2013,2013-14,01,Atlantic,0110,Atlantic City School District,7309.5,336,0,336,6973.5,266.5,0.03783898906715888,NA,NA,228.5,0.03387694588584145,NA,NA
2014,2014-15,01,Atlantic,0110,Atlantic City School District,7260,341,0,341,6919,-49.5,-0.006772009029345383,NA,NA,-54.5,-0.007815300781530032,NA,NA
2015,2015-16,01,Atlantic,0110,Atlantic City School District,7130,436,0,436,6694,-130,-0.017906336088154284,NA,NA,-225,-0.03251915016620899,NA,NA
2016,2016-17,01,Atlantic,0110,Atlantic City School District,6993,487,0,487,6506,-137,-0.019214586255259514,NA,NA,-188,-0.02808485210636391,NA,NA
2017,2017-18,01,Atlantic,0110,Atlantic City School District,7016,510,0,510,6506,23,0.0032890032890033893,NA,NA,0,0,NA,NA
2018,2018-19,01,Atlantic,0110,Atlantic City School District,6855,505,0,505,6350,-161,-0.022947548460661382,NA,NA,-156,-0.023977866584691032,NA,NA
2019,2019-20,01,Atlantic,0110,Atlantic City School District,6779,502,0,502,6277,-76,-0.011086797957695071,NA,NA,-73,-0.011496062992126022,NA,NA
2020,2020-21,01,Atlantic,0110,Atlantic City School District,6450,340,0,340,6110,-329,-0.04853223189260958,NA,NA,-167,-0.026605066114385845,NA,NA
2021,2021-22,01,Atlantic,0110,Atlantic City School District,6337,432,0,432,5905,-113,-0.017519379844961214,NA,NA,-205,-0.03355155482815053,NA,NA
2022,2022-23,01,Atlantic,0110,Atlantic City School District,6346,508,0,508,5838,9,0.0014202303929304883,-697,-0.09896350986795399,-67,-0.011346316680779012,-907,-0.13446997776130465
2023,2023-24,01,Atlantic,0110,Atlantic City School District,6262,546,0,546,5716,-84,-0.013236684525685494,-1047.5,-0.14330665572200563,-122,-0.0208975676601576,-1257.5,-0.1803255180325518
2012,2012-13,01,Atlantic,0120,Atlantic County Vocational School District,995.5,0,0,0,995.5,NA,NA,NA,NA,NA,NA,NA,NA
2013,2013-14,01,Atlantic,0120,Atlantic County Vocational School District,1210,0,0,0,1210,214.5,0.2154696132596685,NA,NA,214.5,0.2154696132596685,NA,NA
