YEAR,YEAR_LONG,COUNTY_CODE,COUNTY_NAME,DISTRICT_CODE,DISTRICT_NAME,TOTAL_ENROLLMENT,CHG,PCT_CHG,CHG_10Y,PCT_CHG_10Y
2013,2013-14,01,Atlantic,0010,Absecon City,864,NA,NA,NA,NA
2014,2014-15,01,Atlantic,0010,Absecon City,828,-36,-0.04166666666666663,NA,NA
2015,2015-16,01,Atlantic,0010,Absecon City,862,34,0.04106280193236711,NA,NA
2016,2016-17,01,Atlantic,0010,Absecon City,817,-45,-0.05220417633410668,NA,NA
2017,2017-18,01,Atlantic,0010,Absecon City,874,57,0.06976744186046502,NA,NA
2018,2018-19,01,Atlantic,0010,Absecon City,859,-15,-0.017162471395881007,NA,NA
2019,2019-20,01,Atlantic,0010,Absecon City,907,48,0.055878928987194376,NA,NA
2020,2020-21,01,Atlantic,0010,Absecon Public Schools District,887,-20,-0.022050716648291058,NA,NA
2021,2021-22,01,Atlantic,0010,Absecon Public Schools District,900,13,0.014656144306651742,NA,NA
2022,2022-23,01,Atlantic,0010,Absecon Public Schools District,947,47,0.05222222222222217,83,0.09606481481481488
2013,2013-14,01,Atlantic,0110,Atlantic City,7309.5,NA,NA,NA,NA
2014,2014-15,01,Atlantic,0110,Atlantic City,7260,-49.5,-0.006772009029345383,NA,NA
2015,2015-16,01,Atlantic,0110,Atlantic City,7130,-130,-0.017906336088154284,NA,NA
2016,2016-17,01,Atlantic,0110,Atlantic City,6993,-137,-0.019214586255259514,NA,NA
2017,2017-18,01,Atlantic,0110,Atlantic City,7016,23,0.0032890032890033893,NA,NA
2018,2018-19,01,Atlantic,0110,Atlantic City,6855,-161,-0.022947548460661382,NA,NA
2019,2019-20,01,Atlantic,0110,Atlantic City,6779,-76,-0.011086797957695071,NA,NA
2020,2020-21,01,Atlantic,0110,Atlantic City School District,6450,-329,-0.04853223189260958,NA,NA
2021,2021-22,01,Atlantic,0110,Atlantic City School District,6337,-113,-0.017519379844961214,NA,NA
2022,2022-23,01,Atlantic,0110,Atlantic City School District,6346,9,0.0014202303929304883,-963.5,-0.13181476161160133
2013,2013-14,01,Atlantic,0120,Atlantic Co Vocational,1210,NA,NA,NA,NA
2014,2014-15,01,Atlantic,0120,Atlantic Co Vocational,1398.5,188.5,0.1557851239669421,NA,NA
2015,2015-16,01,Atlantic,0120,Atlantic Co Vocational,1499,100.5,0.07186271004647837,NA,NA
2016,2016-17,01,Atlantic,0120,Atlantic Co Vocational,1556,57,0.038025350233489075,NA,NA
2017,2017-18,01,Atlantic,0120,Atlantic Co Vocational,1610,54,0.03470437017994854,NA,NA
2018,2018-19,01,Atlantic,0120,Atlantic Co Vocational,1647,37,0.022981366459627228,NA,NA
2019,2019-20,01,Atlantic,0120,Atlantic Co Vocational,1714,67,0.040680024286581684,NA,NA
2020,2020-21,01,Atlantic,0120,Atlantic County Vocational School District,1713,-1,-5.834305717619115e-4,NA,NA
2021,2021-22,01,Atlantic,0120,Atlantic County Vocational School District,1751,38,0.022183304144775207,NA,NA
2022,2022-23,01,Atlantic,0120,Atlantic County Vocational School District,1759,8,0.004568817818389581,549,0.4537190082644629
2013,2013-14,01,Atlantic,0125,Atlantic Co Special Serv,411,NA,NA,NA,NA
2014,2014-15,01,Atlantic,0125,Atlantic Co Special Serv,411,0,0,NA,NA
2015,2015-16,01,Atlantic,0125,Atlantic Co Special Serv,375,-36,-0.08759124087591241,NA,NA
2016,2016-17,01,Atlantic,0125,Atlantic Co Special Serv,372,-3,-0.008000000000000007,NA,NA
2017,2017-18,01,Atlantic,0125,Atlantic Co Special Serv,346,-26,-0.06989247311827962,NA,NA
2018,2018-19,01,Atlantic,0125,Atlantic Co Special Serv,309,-37,-0.10693641618497107,NA,NA
2019,2019-20,01,Atlantic,0125,Atlantic Co Special Serv,322,13,0.04207119741100329,NA,NA
2020,2020-21,01,Atlantic,0125,Atlantic County Special Services School District,306,-16,-0.0496894409937888,NA,NA
2021,2021-22,01,Atlantic,0125,Atlantic County Special Services School District,288,-18,-0.05882352941176472,NA,NA
2022,2022-23,01,Atlantic,0125,Atlantic County Special Services School District,294,6,0.02083333333333326,-117,-0.2846715328467153
2013,2013-14,01,Atlantic,0570,Brigantine City,718,NA,NA,NA,NA
2014,2014-15,01,Atlantic,0570,Brigantine City,687,-31,-0.04317548746518107,NA,NA
