Academic year,PK-12 enrollment,Change,% change,10-yr % change
2013-14,2183,-26.5,-0.011993663724824577,NA
2014-15,2126,-57,-0.026110856619331213,NA
2015-16,2134,8,0.0037629350893697566,NA
2016-17,2094.5,-39.5,-0.018509840674789113,NA
2017-18,2035.5,-59,-0.028169014084507005,NA
2018-19,1969,-66.5,-0.03267010562515349,NA
2019-20,1925,-44,-0.022346368715083775,NA
2020-21,1811,-114,-0.059220779220779174,NA
2021-22,1817,6,0.00331308669243513,NA
2022-23,1866,49,0.026967528893780957,-0.15546503733876438
2023-24,1916,50,0.026795284030010746,-0.12230874942739345
