County,School district,"K-12 enrollment, 2014-15","K-12 enrollment, 2024-25",% change
Atlantic,Absecon Public Schools District,828,778,-0.06038647342995174
Atlantic,Atlantic City School District,6919,5798,-0.16201763260586788
Atlantic,Atlantic County Vocational School District,1398.5,1852,0.3242760100107258
Atlantic,Atlantic County Special Services School District,408,321,-0.21323529411764708
Atlantic,Brigantine Public School District,638,320,-0.4984326018808778
Atlantic,Buena Regional School District,1785,1429,-0.1994397759103641
Atlantic,Egg Harbor City School District,445,486,0.09213483146067425
Atlantic,Egg Harbor Township School District,7463,6783,-0.09111617312072895
Atlantic,Estell Manor School District,163,174,0.06748466257668717
Atlantic,Folsom Borough School District,402,353,-0.12189054726368154
Atlantic,Galloway Township Public School District,3243,2829,-0.12765957446808507
Atlantic,Greater Egg Harbor Regional High School District,3312,3007,-0.09208937198067635
Atlantic,Hamilton Township School District,2963,2493,-0.1586230172122849
Atlantic,Hammonton School District,3478,3114,-0.10465784933870037
Atlantic,Linwood City School District,840,749,-0.10833333333333328
Atlantic,Mainland Regional High School,1355.5,1159,-0.14496495758022865
Atlantic,Margate City School District,423,322,-0.23877068557919623
Atlantic,Mullica Township School District,712,539,-0.2429775280898876
Atlantic,Northfield City School District,927,815,-0.12081984897518883
Atlantic,Pleasantville Public School District,3285,3358,0.022222222222222143
Atlantic,Port Republic School District,130,110,-0.15384615384615385
Atlantic,Somers Point School District,927,587,-0.3667745415318231
Atlantic,Ventnor City School District,728,412,-0.4340659340659341
Atlantic,Weymouth Township School District,163,148,-0.09202453987730064
Bergen,Allendale Public School District,884,841,-0.04864253393665163
Bergen,Alpine Public School District,155,146,-0.058064516129032295
Bergen,Bergen County Special Services School District,719.5,634,-0.11883252258512855
Bergen,Bergen County Vocational Technical School District,2107,2872.5,0.363312766967252
Bergen,Bergenfield Borough School District,3417,3462.5,0.013315774070822295
Bergen,Bogota Public School District,1068.5,1238,0.15863359850257375
Bergen,Carlstadt Public School District,551,460,-0.16515426497277674
Bergen,Carlstadt-East Rutherford Regional High School District,488.5,849.5,0.7389969293756398
Bergen,Cliffside Park School District,2878.5,3036,0.05471599791558113
Bergen,Closter Public School District,1094,1162,0.06215722120658129
Bergen,Cresskill Public School District,1750,1721,-0.01657142857142857
Bergen,Demarest School District,678,733,0.08112094395280245
Bergen,Dumont Public School District,2535.5,2424.5,-0.04377834746598308
Bergen,East Rutherford School District,744,749,0.006720430107526987
Bergen,Edgewater School District,824,673,-0.183252427184466
Bergen,Elmwood Park School District,2403.5,2526,0.050967339296858816
Bergen,Emerson Public School District,1155,1000,-0.1341991341991342
