County,School district,"K-12 enrollment, 2014-15","K-12 enrollment, 2024-25",% change
Gloucester,Clayton Public School District,1351,1311,-0.02960769800148033
Gloucester,Clearview Regional High School District,2456,2045,-0.1673452768729642
Gloucester,Deptford Township Public School District,4120.5,3786,-0.08117946851110303
Gloucester,East Greenwich Township School District,1225,1138,-0.07102040816326527
Gloucester,Elk Township School District,328,305,-0.07012195121951215
Gloucester,Township Of Franklin School District,1389,1263,-0.09071274298056153
Gloucester,Gateway Regional High School District,959.5,862,-0.10161542470036478
Gloucester,Glassboro School District,2006,1821,-0.09222333000997007
Gloucester,Gloucester County Special Services School District,653,462,-0.29249617151607965
Gloucester,Gloucester County Vocational-Technical School District,1339,1657,0.2374906646751307
Gloucester,Greenwich Township School District,466,377,-0.1909871244635193
Gloucester,Harrison Township School District,1463,1291,-0.11756664388243332
Gloucester,Kingsway Regional School District,2531,2752.5,0.08751481627815094
Gloucester,Logan Township School District,787,703,-0.10673443456162646
Gloucester,Mantua Township School District,1232,1091,-0.11444805194805197
Gloucester,Monroe Township Public School District,6037,5435,-0.0997184031803876
Gloucester,National Park Boro School District,237,236,-0.00421940928270037
Gloucester,Paulsboro School District,1104,1098,-0.005434782608695676
Gloucester,Pitman Boro School District,1236,994,-0.19579288025889963
Gloucester,South Harrison Township School District,371,285,-0.2318059299191375
Gloucester,Delsea Regional High School District,1700,1558,-0.08352941176470585
Gloucester,Swedesboro-Woolwich School District,1704,1569,-0.079225352112676
Gloucester,Washington Township School District,7308,6939,-0.05049261083743839
Gloucester,Wenonah  Boro School District,208,147,-0.2932692307692307
Gloucester,West Deptford Township School District,3008.5,2612,-0.13179325245138773
Gloucester,Westville Boro Public School District,332,301,-0.09337349397590367
Gloucester,Woodbury City Public School District,1451,1550,0.06822880771881468
Gloucester,Woodbury Heights Public School District,220,233,0.05909090909090908
Gloucester,County Total,47222.5,43821.5,-0.07202075281910103
